Num_Nodos;Num_Procesos;Tipo_Proceso;Identificador;T_In;T_Out;T_Dif
50;3;PAGO;-260110784;13:24:02.603985;13:48:27.709660;1465105675
50;3;PAGO;-268503488;13:24:02.604134;13:50:07.715783;1565111649
50;3;PAGO;-276896192;13:24:02.604381;13:51:47.721344;1665116963
50;3;PAGO;-285288896;13:24:02.604562;13:53:27.726237;1765121675
50;3;PAGO;-293681600;13:24:02.606027;13:55:07.732461;1865126434
50;3;PAGO;-302074304;13:24:02.606166;13:56:47.741899;1965135733
50;3;ANULACION;1121969728;13:24:01.601846;13:25:17.605112;76003266
50;3;ANULACION;1113577024;13:24:01.601994;13:26:57.613396;176011402
50;3;ANULACION;1105184320;13:24:01.602112;13:28:37.621374;276019262
50;3;ANULACION;1096791616;13:24:01.602261;13:30:17.630220;376027959
50;3;ANULACION;1088398912;13:24:01.602452;13:31:57.636452;476034000
50;3;ANULACION;1080006208;13:24:01.602669;13:33:37.643746;576041077
50;3;ANULACION;1071613504;13:24:01.602867;13:35:17.651891;676049024
50;3;ANULACION;1063220800;13:24:01.603064;13:36:57.659061;776055997
50;3;ANULACION;1054828096;13:24:01.603248;13:38:37.664907;876061659
50;3;ANULACION;1046435392;13:24:01.603420;13:40:17.671506;976068086
50;3;PAGO;1038042688;13:24:01.603633;13:41:57.679927;1076076294
50;3;PAGO;1029649984;13:24:01.603826;13:43:37.689015;1176085189
50;3;PAGO;1021257280;13:24:01.603995;13:45:17.697211;1276093216
50;3;PAGO;1012864576;13:24:01.604218;13:46:57.703717;1376099499
50;3;PAGO;1004471872;13:24:01.604392;13:48:37.709958;1476105566
50;3;RESERVA/ANULACION;996079168;13:24:01.604644;13:50:17.716703;1576112059
50;3;RESERVA/ANULACION;987686464;13:24:01.606180;13:51:57.721651;1676115471
50;3;RESERVA/ANULACION;979293760;13:24:01.606388;13:53:37.726562;1776120174
50;3;RESERVA/ANULACION;970901056;13:24:01.606562;13:55:17.732776;1876126214
50;3;RESERVA/ANULACION;962508352;13:24:01.606701;13:56:57.743538;1976136837
50;3;ANULACION;-2038438336;13:24:02.601399;13:25:27.605827;85004428
50;3;ANULACION;-2046831040;13:24:02.601574;13:27:07.613705;185012131
50;3;ANULACION;-2055223744;13:24:02.601690;13:28:47.621687;285019997
50;3;ANULACION;-2063616448;13:24:02.601805;13:30:27.630889;385029084
50;3;ANULACION;-2072009152;13:24:02.601922;13:32:07.636694;485034772
50;3;PAGO;-2080401856;13:24:02.602132;13:33:47.644189;585042057
50;3;PAGO;-2088794560;13:24:02.602338;13:35:27.652923;685050585
50;3;PAGO;-2097187264;13:24:02.602535;13:37:07.659527;785056992
50;3;PAGO;-2105579968;13:24:02.602739;13:38:47.665232;885062493
